model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,full,moderate,severe,512,0.001,0.4077777777777778,0.3949181698581302,32.1,549290
small_cnn,full,moderate,none,88,0.001,0.765,0.7565062181579967,30.5,549290
small_cnn,full,moderate,moderate,88,0.001,0.8140740740740741,0.8087867617971245,30.5,549290
small_cnn,full,moderate,severe,88,0.001,0.4048148148148148,0.37759913149606567,30.5,549290
small_cnn,full,moderate,none,314,0.001,0.7625925925925926,0.7584521994928661,31.5,549290
small_cnn,full,moderate,moderate,314,0.001,0.812037037037037,0.8084472202331078,31.5,549290
small_cnn,full,moderate,severe,314,0.001,0.5146296296296297,0.47716977402841093,31.5,549290
small_cnn,full,severe,none,42,0.001,0.6596296296296297,0.6481517339890178,32.6,549290
small_cnn,full,severe,moderate,42,0.001,0.6981481481481482,0.6905733704956957,32.6,549290
small_cnn,full,severe,severe,42,0.001,0.820925925925926,0.8145491789899004,32.6,549290
small_cnn,full,severe,none,123,0.001,0.6798148148148148,0.6695497294949581,31.1,549290
small_cnn,full,severe,moderate,123,0.001,0.7118518518518518,0.7065829701920229,31.1,549290
small_cnn,full,severe,severe,123,0.001,0.8146296296296296,0.8091797355677197,31.1,549290
small_cnn,full,severe,none,7,0.001,0.5505555555555556,0.5241931057103741,31.6,549290
small_cnn,full,severe,moderate,7,0.001,0.6340740740740741,0.6175861373176361,31.6,549290
small_cnn,full,severe,severe,7,0.001,0.7961111111111111,0.7863126269994147,31.6,549290
small_cnn,full,severe,none,2024,0.001,0.5366666666666666,0.49748295240539,31.5,549290
small_cnn,full,severe,moderate,2024,0.001,0.5933333333333334,0.5662901179225307,31.5,549290
small_cnn,full,severe,severe,2024,0.001,0.75,0.7378878685643157,31.5,549290
small_cnn,full,severe,none,99,0.001,0.6414814814814814,0.6276650907553295,33.1,549290
small_cnn,full,severe,moderate,99,0.001,0.702037037037037,0.6950555795927154,33.1,549290
small_cnn,full,severe,severe,99,0.001,0.7992592592592592,0.7951853846521185,33.1,549290
small_cnn,full,severe,none,17,0.001,0.6025925925925926,0.5868094122478882,32.5,549290
small_cnn,full,severe,moderate,17,0.001,0.6472222222222223,0.637080511673221,32.5,549290
small_cnn,full,severe,severe,17,0.001,0.8083333333333333,0.8030821207926337,32.5,549290
small_cnn,full,severe,none,256,0.001,0.652962962962963,0.6404751338301244,31.5,549290
small_cnn,full,severe,moderate,256,0.001,0.6798148148148148,0.6702150517457958,31.5,549290
small_cnn,full,severe,severe,256,0.001,0.7988888888888889,0.7928043826172962,31.5,549290
small_cnn,full,severe,none,512,0.001,0.7255555555555555,0.7222261855846765,30.5,549290
small_cnn,full,severe,moderate,512,0.001,0.7414814814814815,0.738661560864146,30.5,549290
small_cnn,full,severe,severe,512,0.001,0.7861111111111111,0.7813928245686067,30.5,549290
small_cnn,full,severe,none,88,0.001,0.5575925925925926,0.5265141464584501,30.8,549290
small_cnn,full,severe,moderate,88,0.001,0.6212962962962963,0.6042303125710222,30.8,549290
small_cnn,full,severe,severe,88,0.001,0.8090740740740741,0.8027093158097802,30.8,549290
small_cnn,full,severe,none,314,0.001,0.5916666666666667,0.5767955635443195,33.1,549290
small_cnn,full,severe,moderate,314,0.001,0.6638888888888889,0.652820973477622,33.1,549290
small_cnn,full,severe,severe,314,0.001,0.7975925925925926,0.7927232437910254,33.1,549290
small_cnn,full,mixed,none,42,0.001,0.8396296296296296,0.8333367305214999,30.0,549290
small_cnn,full,mixed,moderate,42,0.001,0.8383333333333334,0.8327008832552913,30.0,549290
small_cnn,full,mixed,severe,42,0.001,0.8244444444444444,0.8188347454501044,30.0,549290
small_cnn,full,mixed,none,123,0.001,0.7983333333333333,0.7947872089501934,30.1,549290
small_cnn,full,mixed,moderate,123,0.001,0.7998148148148149,0.7956006396372695,30.1,549290
small_cnn,full,mixed,severe,123,0.001,0.7885185185185185,0.7845327951928424,30.1,549290
small_cnn,full,mixed,none,7,0.001,0.8383333333333334,0.8295669397351974,29.8,549290
small_cnn,full,mixed,moderate,7,0.001,0.8238888888888889,0.8156758867874764,29.8,549290
small_cnn,full,mixed,severe,7,0.001,0.7975925925925926,0.7875138493625656,29.8,549290
small_cnn,full,mixed,none,2024,0.001,0.8231481481481482,0.8174196619569563,29.7,549290
small_cnn,full,mixed,moderate,2024,0.001,0.8166666666666667,0.8102208712726409,29.7,549290
small_cnn,full,mixed,severe,2024,0.001,0.7981481481481482,0.7931685975112736,29.7,549290
small_cnn,full,mixed,none,99,0.001,0.8001851851851852,0.7944361751499263,28.9,549290
small_cnn,full,mixed,moderate,99,0.001,0.795,0.7884869874629059,28.9,549290
small_cnn,full,mixed,severe,99,0.001,0.7670370370370371,0.7599131755058478,28.9,549290
small_cnn,full,mixed,none,17,0.001,0.8066666666666666,0.8022800941816879,30.0,549290
small_cnn,full,mixed,moderate,17,0.001,0.797037037037037,0.792835992175714,30.0,549290
small_cnn,full,mixed,severe,17,0.001,0.7705555555555555,0.7673006217746308,30.0,549290
small_cnn,full,mixed,none,256,0.001,0.8290740740740741,0.8253033721921492,28.6,549290
small_cnn,full,mixed,moderate,256,0.001,0.8194444444444444,0.8161306805690833,28.6,549290
small_cnn,full,mixed,severe,256,0.001,0.7942592592592592,0.7915724548977261,28.6,549290
small_cnn,full,mixed,none,512,0.001,0.8431481481481482,0.837052891312837,29.5,549290
