model,shots,degradation,seed,accuracy,f1,train_time_sec,num_params
vit,10,none,256,0.38037037037037036,0.34515124717416334,4.2,5526346
vit,10,none,512,0.4361111111111111,0.4170915386191386,4.2,5526346
vit,10,none,88,0.40685185185185185,0.38175825998367674,4.2,5526346
vit,10,none,314,0.4085185185185185,0.3593889145476874,4.1,5526346
vit,10,moderate,42,0.41444444444444445,0.37395796781965707,5.0,5526346
vit,10,moderate,123,0.4540740740740741,0.44423967373276846,5.0,5526346
vit,10,moderate,7,0.46240740740740743,0.4273339334932686,5.0,5526346
vit,10,moderate,2024,0.4759259259259259,0.4445833046330498,5.0,5526346
vit,10,moderate,99,0.5222222222222223,0.49615966698515956,4.9,5526346
vit,10,moderate,17,0.45925925925925926,0.4245063279187528,5.0,5526346
vit,10,moderate,256,0.43444444444444447,0.4081389375585903,5.0,5526346
vit,10,moderate,512,0.4461111111111111,0.44142410235938295,5.0,5526346
vit,10,moderate,88,0.4431481481481481,0.43851644872208456,5.1,5526346
vit,10,moderate,314,0.43203703703703705,0.3955389399780148,4.9,5526346
vit,10,severe,42,0.44351851851851853,0.416176456924844,5.0,5526346
vit,10,severe,123,0.43777777777777777,0.406393828762289,4.9,5526346
vit,10,severe,7,0.5183333333333333,0.5096308630928844,5.0,5526346
vit,10,severe,2024,0.4487037037037037,0.4133450244603408,5.0,5526346
vit,10,severe,99,0.4824074074074074,0.4373445517890069,5.0,5526346
vit,10,severe,17,0.42407407407407405,0.39339342884769113,5.0,5526346
vit,10,severe,256,0.43925925925925924,0.418597278812594,5.0,5526346
vit,10,severe,512,0.42462962962962963,0.4047057904762454,4.9,5526346
vit,10,severe,88,0.455,0.44142139934870006,5.0,5526346
vit,10,severe,314,0.3927777777777778,0.3292085626789175,5.0,5526346
vit,50,none,42,0.6442592592592593,0.6211840065286037,8.0,5526346
vit,50,none,123,0.7044444444444444,0.6966210795589612,8.0,5526346
vit,50,none,7,0.7040740740740741,0.6935012419831279,8.0,5526346
vit,50,none,2024,0.6903703703703704,0.67929553629143,8.0,5526346
vit,50,none,99,0.7075925925925926,0.6962079516444843,8.0,5526346
vit,50,none,17,0.6281481481481481,0.607220022339148,8.0,5526346
vit,50,none,256,0.6688888888888889,0.6520601623338499,8.0,5526346
vit,50,none,512,0.6472222222222223,0.6238847375018676,8.0,5526346
vit,50,none,88,0.7229629629629629,0.7148165036081273,8.1,5526346
vit,50,none,314,0.6512962962962963,0.6286559057241096,8.0,5526346
vit,50,moderate,42,0.6825925925925926,0.6730798939677204,9.5,5526346
vit,50,moderate,123,0.5507407407407408,0.5398390356584735,9.7,5526346
vit,50,moderate,7,0.6759259259259259,0.6609925925607915,9.6,5526346
vit,50,moderate,2024,0.6792592592592592,0.673089674301806,9.7,5526346
vit,50,moderate,99,0.6837037037037037,0.669196019576566,9.7,5526346
vit,50,moderate,17,0.6948148148148148,0.6748059672290312,9.6,5526346
vit,50,moderate,256,0.6659259259259259,0.6471614824854381,9.7,5526346
vit,50,moderate,512,0.7074074074074074,0.6965964838217422,9.7,5526346
vit,50,moderate,88,0.7224074074074074,0.712133196185398,9.7,5526346
vit,50,moderate,314,0.6535185185185185,0.6381468633720346,9.7,5526346
vit,50,severe,42,0.6994444444444444,0.6810072844329793,9.6,5526346
vit,50,severe,123,0.6233333333333333,0.614379434422636,9.6,5526346
vit,50,severe,7,0.6396296296296297,0.6268686883656478,9.8,5526346
vit,50,severe,2024,0.6905555555555556,0.6811189442024562,9.7,5526346
vit,50,severe,99,0.6012962962962963,0.577392488016227,9.6,5526346
vit,50,severe,17,0.6601851851851852,0.654127724311459,9.7,5526346
vit,50,severe,256,0.647962962962963,0.6342867202195785,9.8,5526346
vit,50,severe,512,0.6994444444444444,0.6932489893901347,9.7,5526346
vit,50,severe,88,0.6774074074074075,0.6658413785559892,9.6,5526346
vit,50,severe,314,0.6412962962962963,0.6279367552037918,9.7,5526346
vit,full,none,42,0.9377777777777778,0.9349778228779859,151.4,5526346
vit,full,none,123,0.9366666666666666,0.9337702639367214,151.4,5526346
vit,full,none,7,0.9435185185185185,0.9418298773365426,151.4,5526346
vit,full,none,2024,0.9357407407407408,0.9339097589131496,151.7,5526346
vit,full,none,99,0.937037037037037,0.9347759086975941,151.3,5526346
vit,full,none,17,0.9318518518518518,0.9295187577893429,151.5,5526346
vit,full,none,256,0.9433333333333334,0.940816182921594,151.5,5526346
vit,full,none,512,0.9216666666666666,0.9203437469484598,151.5,5526346
vit,full,none,88,0.9196296296296296,0.9165906237414347,151.5,5526346
vit,full,none,314,0.9392592592592592,0.9370930013369622,151.4,5526346
vit,full,moderate,42,0.9312962962962963,0.9274543387316984,183.2,5526346
vit,full,moderate,123,0.9340740740740741,0.9317244762248738,184.2,5526346
vit,full,moderate,7,0.9472222222222222,0.9452948336846116,183.2,5526346
vit,full,moderate,2024,0.9464814814814815,0.9440557430588985,183.9,5526346
vit,full,moderate,99,0.9444444444444444,0.9424644110857638,183.7,5526346
vit,full,moderate,17,0.9501851851851851,0.9483613762004118,185.5,5526346
vit,full,moderate,256,0.9457407407407408,0.9440181737666935,184.2,5526346
vit,full,moderate,512,0.927962962962963,0.926803471040383,184.7,5526346
vit,full,moderate,88,0.9416666666666667,0.9395589844724404,183.7,5526346
vit,full,moderate,314,0.9381481481481482,0.9356577849979804,183.1,5526346
vit,full,severe,42,0.9096296296296297,0.9058476359735048,183.8,5526346
vit,full,severe,123,0.9022222222222223,0.8998678639522983,183.7,5526346
vit,full,severe,7,0.9168518518518518,0.9157568074446051,184.3,5526346
vit,full,severe,2024,0.9357407407407408,0.9331919340730753,184.2,5526346
vit,full,severe,99,0.9348148148148148,0.9321648330065994,183.9,5526346
vit,full,severe,17,0.9253703703703704,0.9224405820589923,182.9,5526346
vit,full,severe,256,0.9151851851851852,0.9122237459090279,184.4,5526346
vit,full,severe,512,0.9,0.8985384950562934,183.8,5526346
vit,full,severe,88,0.9261111111111111,0.9222953711385312,184.5,5526346
vit,full,severe,314,0.9183333333333333,0.9153513613065638,183.5,5526346
